"Nome","Time","Posicao","Idade"
"Anderson Polga","Grêmio","DEF","23"
"Belletti","São Paulo","DEF","26"
"Cafú","Roma","DEF","32"
"Denilson","Real Betis","MEI","25"
"Dida","Corinthians","GOL","29"
"Edilson","Cruzeiro","ATA","31"
"Edmilson","Lyon","MEI","26"
"Gilberto Silva","Atlético Mineiro","MEI","26"
"Juninho Paulista","Flamengo","MEI","29"
"Júnior","Parma","DEF","29"
"Kaká","São Paulo","MEI","20"
"Kléberson","Atlético Paranaense","MEI","23"
"Lúcio","Bayer Leverkusen","DEF","24"
"Luiz Felipe Scolari","Brasil","TEC","54"
"Luizão","Grêmio","ATA","27"
"Marcos","Palmeiras","GOL","29"
"Ricardinho","Corinthians","MEI","26"
"Rivaldo","Barcelona","ATA","30"
"Roberto Carlos","Real Madrid","DEF","29"
"Rogério Ceni","São Paulo","GOL","29"
"Ronaldinho Gaúcho","PSG","MEI","22"
"Ronaldo","Inter de Milão","ATA","26"
"Roque Júnior","Milan","DEF","26"
"Vampeta","Corinthians","MEI","28"
